urls,openai,huggingface
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.1859,0.3915
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.1848,0.4379
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Penelopa,0.1845,0.4463
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Agamemnon,0.1843,0.3087
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Achilles,0.1839,0.2534
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.18,0.452
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.1791,0.2883
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.1783,0.3581
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.1775,0.2332
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.1771,0.3987
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Zbrojni,0.1744,0.2153
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.1733,0.2054
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Achilles,0.1732,0.2258
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Penelopa,0.1724,0.399
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.1721,0.2381
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Penelopa,0.1715,0.5454
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Achilles,0.17,0.3145
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Kwazar,0.1685,0.1947
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Hekabe,0.1671,0.3758
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Achilles,0.1669,0.3508
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Hekabe,0.1666,0.3603
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Hekabe,0.1657,0.3913
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.1651,0.3422
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Penelopa,0.1648,0.4989
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.1644,0.344
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.1598,0.3519
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Hekabe,0.158,0.3237
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Hekabe,0.1558,0.3582
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Agamemnon,0.1538,0.3279
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.152,0.2444
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/Penelopa,0.1494,0.4058
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Penelopa,0.1398,0.3759
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Zbrojni,0.1353,0.3654
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.1327,0.2177
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.1324,0.3997
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.1275,0.2623
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Hekabe,0.1152,0.2059
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Blazar,0.1131,0.3405
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Achilles,0.1097,0.2285
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Penelopa,0.1093,0.4699
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Achilles,0.0901,0.2413
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.0871,0.2963
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.0812,0.2549
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Penelopa,0.0812,0.2863
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Penelopa,0.0781,0.3982
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Agamemnon,0.0759,0.2391
https://pl.wikipedia.org/wiki/Hugging_Face vs https://pl.wikipedia.org/wiki/Agamemnon,0.0743,0.3385
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Agamemnon,0.0734,0.3543
